sourceCode,sourceName,frequency
963,Text of encounter note,956
1701,Respiratory rate,478
1703,Arterial blood oxygen saturation (pulse oximeter),478
1694,Systolic blood pressure,478
1695,Diastolic blood pressure,478
1696,Temperature (c),478
1697,Height (cm),478
1698,Weight (kg),478
1699,Pulse,478
216,Serum potassium,126
68,Serum glucose,80
75,Serum creatinine (umol/L),77
69,Blood urea nitrogen,77
217,Serum sodium,66
200,Serum calcium,65
245,Total cholesterol (mmol/L),52
76,Alkaline phosphatase,52
102,Total bilirubin,51
103,Serum glutamic-pyruvic transaminase,51
104,Serum glutamic-oxaloacetic transaminase,51
242,Triglycerides (mmol/L),51
86,Total protein,50
189,Prostate specific antigen (PSA) measurement (ng/mL),40
71,Mean corpuscular volume,39
173,Pus culture and sensitivity,39
237,Mean cell hemoglobin concentration,39
214,Serum carbon dioxide,38
184,"Culture and sensitivity, urine",38
185,"Culture and sensitivity, blood",38
42,C-reactive protein,37
172,Body fluid culture and sensitivity,37
215,Serum chloride,37
239,Hematocrit,37
156,Stool culture (bacterial),37
113,Haemoglobin,36
99,Red blood cells,36
100,White blood cells,36
238,Red cell distribution width,36
182,Urine routine and microscopy,36
158,"Combined % of monocytes, eosinophils and basophils",35
116,Lymphocytes (%) - microscopic exam,35
80,Platelets,35
118,Neutrophils (%) - microscopic exam,35
50,CD4 count,34
236,Mean corpuscular hemoglobin,34
180,Kinyoun's stain for coccidians,34
48,CD4%,33
135,Urea measurement (calculated),33
181,Stool microscopy with concentration,31
132,"Glucose, serum 2 hrs post 75g oral glucose (mg/dL)",31
188,Post-prandial blood glucose measurement (mg/dL),30
72,Serum albumin,29
195,"uric acid, serum",29
131,"Glucose, serum 3 hrs post 75g oral glucose (mg/dL)",29
134,"Glucose, serum 1/2 hr post 75g oral glucose (mg/dL)",28
190,Fasting blood glucose measurement (mg/dL),27
130,"Glucose, serum 4 hrs post 75g oral glucose (mg/dL)",27
133,"Glucose, serum 1 hr post 75g oral glucose (mg/dL)",27
201,Hepatitis B Surface Antigen Test,26
125,Amylase,26
243,Low-density lipoprotein cholesterol (mmol/L),26
244,High-density lipoprotein cholesterol measurement (mmol/L),26
157,Glucose tolerance test pre-glucose administration,26
126,Very low density lipoprotein measurement (mmol/L),25
176,Prothrombin time,23
175,International normalized ratio,20
226,Serum glucose (mmol),20
166,Prostate specific antigen test,19
171,Culture panel,18
41,C-reactive protein test,18
235,Complete blood count,17
170,Renal function panel,16
49,CD4 panel,16
137,Casts presence in urine sediment by light microscopy test,15
138,Crystals type in urine sediment by light microscopy test,15
193,"Bacteriuria test, urine",15
141,Epithelial casts presence in urine sediment by light microscopy test,15
28,GeneXpert MTB/Rif Lab set,15
31,Bacillary burden as determined by quantitative cycle threshold,15
144,Trichomonas vaginalis presence in urine sediment by light microscopy,15
32,Mycobacterium tuberculosis rifampin resistance detection status,15
145,Spore presence in urine test,15
146,Yeast hyphae presence in urine sediment by light microscopy test,15
147,Yeast presence in urine sediment by light microscopy,15
148,Leukocytes presence in urine sediment by light microscopy,15
149,Erythrocytes presence in urine sediment by light microscopy test,15
136,Urine microscopy panel,15
38,Tuberculosis polymerase chain reaction with rifampin resistance checking,15
44,HBsAg Rapid Diagnostic Test,14
46,Hepatitis B surface antigen spot test,14
177,Stool test,14
178,"Stool fat test, semi-quantitative",14
179,Stool test for reducing substance,14
203,Fecal occult blood test,14
45,Hepatitis B serological test,14
110,Stool exam,14
174,Serum chemistry panel,13
129,Glucose tolerance test 5 specimens (75g) panel,13
121,Hepatitis C test - qualitative,12
241,Lipid panel,12
67,Liver function tests,12
194,Sickle cell screening test,11
183,Sickling test only,11
40,Toxoplasma IgG,10
186,Prothrombin Time (with INR),10
34,Toxoplasma Gondii IgG And IgM Panel - Serum,10
39,Toxoplasma IgM,10
26,Serum electrolytes,9
159,Basic metabolic panel,9
70,Erythrocyte sedimentation rate,5
229,Chlamydia trachomatis polymerase chain reaction,4
199,Glycosylated hemoglobin A measurement,4
168,Serum ferritin,3
169,Thyroid stimulating hormone test,3
230,Basophils,3
47,CD4/CD8,3
240,Creatine kinase,3
120,Reticulocytes (%),2
198,cerebrospinal fluid bacterial culture,2
66,HIV viral load,2
933,Never smoker,1
232,Monocytes,1
233,Neutrophils,1
234,Lymphocytes,1
122,Albumin/creatinine ratio (mass ratio) in 24 hour urine,1
59,Cryptococcus Sp Ag presence in serum test,1
187,Glomerular filtration rate,1
1484,Odansetron hydrochloride,0
1775,Presence of Symptoms,0
374,Multisystem inflammatory syndrome associated with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection in adult,0
1404,Silver Sulphadiazene,0
686,Preparation,0
1100,Erythema,0
295,Invoice line number,0
1659,MTV & Fer gttes (pr neonato),0
423,Inhaler,0
872,"Muscle Cramp, Nocturnal",0
1326,Glycerine & Sodium Chloride Enema,0
945,HEENT examination (text),0
227,Neisseria gonorrhoeae polymerase chain reaction,0
1579,Brimonidine tartrate,0
621,Thrice daily,0
1246,Alprazolam,0
219,Not done,0
591,Allergy-Sensitivity to Fungi Syndrome,0
1769,Time of Procedure,0
93,O negative,0
1500,Co-Amoxiclav,0
390,Hyperthyroidism,0
1117,Rhinorrhoea,0
1420,Verapamil,0
858,Return visit date,0
1673,Tocopherol,0
706,Inpatient patient disposition,0
476,Intranasal,0
891,Palpitations,0
1342,Lactulose,0
1040,duration of smoking (in years),0
1595,Petrolatum,0
527,Penicillins,0
732,Cirrhosis of Liver,0
1262,Beclomethasone Dipropionate,0
266,Mobile money,0
112,Blood typing,0
1514,Sorbitol,0
830,Vision difficulties,0
162,Urine appears clear,0
247,Bloodwork,0
408,Measles,0
1140,Acute Alcoholic Liver Disease,0
1436,Gamma-Hexachlorocyclohexane,0
1011,Tuberculosis Visit,0
1689,Glucosamine & Chondroitin,0
892,Follow-up need status,0
1356,Metronidazole & Diloxanide,0
514,Beef,0
980,Swallowing painful,0
1181,Diffuse non-miliary changes,0
842,Family planning services,0
1611,Atazanavir & Ritonavir,0
452,Pint,0
750,Epigastric pain,0
1278,Chlordiazepoxide,0
287,Billed,0
1531,Thiopental,0
857,Abdominal mass,0
710,Clinical impression comment,0
77,Cystine,0
646,Priority,0
538,Personal History of Allergy to Anti-Infective Agent,0
1170,Blurred vision,0
1452,Prednisone,0
1036,Secondary,0
335,"Meningitis, cryptococcal",0
1372,Oral Rehydration Solution (ORS),0
642,In Service,0
1064,Hepatitis A,0
1700,Mid-upper arm circumference,0
1205,"Polio vaccination, inactivated",0
1627,Oral polio vaccine (OPV),0
468,Can,0
777,Hoarse,0
1294,Cremaffin,0
309,Inactive status,0
1547,Nitroglycerin (Glycerine Trinitrate),0
906,Alcohol counseling,0
816,Regressed milestones,0
720,Condoms,0
22,Beyond detectable limit,0
555,Allergy to Insects,0
1725,Herpes simplex esophagitis (B00.8),0
1468,Tetrahydrozoline,0
1155,Never,0
353,Helicobacter Pylori Gastrointestinal Tract Infection,0
1058,Alcohol use status,0
1388,Prednisolone,0
667,Stale-dated order,0
1082,limb weakness,0
1196,"X-ray of bilateral hips, 2 views",0
1000,Axillary lymph node location,0
1643,Dextran in NaCl,0
802,Limitation of Joint Movement,0
1310,Ethionamide,0
327,Radiology department,0
1563,Albumin,0
605,Every twelve hours,0
905,Increased skin temperature,0
1229,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)",0
124,Equivocal,0
575,Personal History of Allergy to Unspecified Medicinal Agent,0
1753,Assistants,0
1741,Tuberculosis of the peritonium (A18.3),0
1742,Tuberculosis Of Central Nervous System (A17.9),0
1485,Oral rehydration therapy,0
1782,Covid 19 Signs and Symptom in past 14 days,0
375,Upper respiratory tract infection due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),0
1405,Sodium Valproate,0
687,In progress,0
1101,deformity,0
297,Type of service provided,0
1660,Nitroprussiate,0
424,Each,0
873,Night sweats,0
1327,Glyceryl Trinitrate,0
946,General examination (text),0
228,"Chlamydia trachomatis polymerase chain reaction, qualitative",0
1580,Betaxolol,0
622,"Once daily, in the morning",0
1247,Amikacin,0
220,Abnormal,0
592,Allergy to Dog,0
1770,Post-Operative Instructions,0
94,O positive,0
1501,Dolex,0
391,Pulmonary Hypertension,0
1118,Former smoker,0
1421,Vitamin B Complex,0
874,Recurrence of disease,0
1674,Vasopressin,0
711,Objective Findings,0
477,Capsule,0
893,Pericardial friction rub,0
1343,Levofloxacin,0
1041,Postnatal visit number,0
