sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
289,Billable,0,,0.63,APPROVED,EQUAL,jaye,1751446575564,41885527,Illabo,Geography,MAPS_TO,,<auto>,1751446417834,
644,Service,0,,0.90,UNCHECKED,UNREVIEWED,,0,4075820,Services,Observation,MAPS_TO,,<auto>,1751446472744,
1257,Antacid,0,,0.63,APPROVED,EQUAL,jaye,1751446576170,45764878,Gastric antacid,Device,MAPS_TO,,<auto>,1751446417892,
1648,Fenofibrate,0,,1.00,APPROVED,EQUAL,jaye,1751446576599,1551803,fenofibrate,Drug,MAPS_TO,,<auto>,1751446417932,
330,No,0,,1.00,APPROVED,EQUAL,jaye,1751446576884,45878245,No,Meas Value,MAPS_TO,,<auto>,1751446418050,
537,Allergy,0,,1.00,UNCHECKED,UNREVIEWED,,0,45884767,Allergy,Meas Value,MAPS_TO,,<auto>,1751446472995,
310,Diabetes clinic,0,,0.73,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1751446458618,
162,Urine appears clear,0,,0.70,UNCHECKED,UNREVIEWED,,0,4143063,Urine appearance,Measurement,MAPS_TO,,<auto>,1751446456646,
1533,Lidocaine & Epinephrine,0,,0.54,UNCHECKED,UNREVIEWED,,0,1593799,epinephrine / lidocaine Injection,Drug,MAPS_TO,,<auto>,1751446418624,
247,Bloodwork,0,,0.90,UNCHECKED,UNREVIEWED,,0,4102137,Lachnanthes tinctoria,Observation,MAPS_TO,,<auto>,1751446456874,
1168,Bleeding gums,0,,1.00,UNCHECKED,UNREVIEWED,,0,4311406,Bleeding gums,Condition,MAPS_TO,,<auto>,1751446473452,
848,Natural family planning,0,,0.86,UNCHECKED,UNREVIEWED,,0,36713753,Natural family planning method,Observation,MAPS_TO,,<auto>,1751446418548,
989,Abdominal examination (text),0,,0.69,UNCHECKED,UNREVIEWED,,0,4075966,Examination of abdomen,Procedure,MAPS_TO,,<auto>,1751446418546,
61,Positive for Plasmodium vivax,0,,0.83,UNCHECKED,UNREVIEWED,,0,36308286,Plasmodium vivax,Meas Value,MAPS_TO,,<auto>,1751446433247,
1392,Promethazine Hydrochloride (HCl),0,,0.71,UNCHECKED,UNREVIEWED,,0,40180036,promethazine hydrochloride 10 MG,Drug,MAPS_TO,,<auto>,1751446418625,
261,Mental health services,0,,0.97,UNCHECKED,UNREVIEWED,,0,45769500,Mental health service,Observation,MAPS_TO,,<auto>,1751446418961,
408,Measles,0,,1.00,UNCHECKED,UNREVIEWED,,0,45882659,Measles,Meas Value,MAPS_TO,,<auto>,1751446457116,
808,Lymphogranuloma venereum,0,,1.00,UNCHECKED,UNREVIEWED,,0,194287,Lymphogranuloma venereum,Condition,MAPS_TO,,<auto>,1751446419120,
1357,"Metronidazole, Chlorhexidine, Lignocaine & Menthol",0,,0.48,UNCHECKED,UNREVIEWED,,0,1790812,chlorhexidine,Drug,MAPS_TO,,<auto>,1751446462306,
1451,Diphenhydramine,0,,1.00,UNCHECKED,UNREVIEWED,,0,1129625,diphenhydramine,Drug,MAPS_TO,,<auto>,1751446473892,
1548,Isosorbide dinitrate,0,,1.00,UNCHECKED,UNREVIEWED,,0,1383925,isosorbide dinitrate,Drug,MAPS_TO,,<auto>,1751446459461,
569,heparin allergy,0,,0.86,UNCHECKED,UNREVIEWED,,0,3052047,Heparin IgE Ab [Units/volume] in Serum,Measurement,MAPS_TO,,<auto>,1751446433849,
1315,Folic Acid,0,,1.00,UNCHECKED,UNREVIEWED,,0,19111620,folic acid,Drug,MAPS_TO,,<auto>,1751446419486,
871,Sexually transmitted infection (STI) in past 6 months,0,,0.60,UNCHECKED,UNREVIEWED,,0,4064905,Venereal disease screening,Measurement,MAPS_TO,,<auto>,1751446495480,
